Brand Name,Company Group,CompanyID,FoodTypeName,FoodTypeID
N/A,N/A,1,N/A,1
Rupchanda Soyabean Oil,Bangladesh Edible Oil Limited,4,Soya Bean,2
Fortune Fortified Rice Bran Oil,Bangladesh Edible Oil Limited,4,Rice Bran,11
Fortune Kachi Ghani Pure Mustard Oil,Bangladesh Edible Oil Limited,4,Rape & Mustard,7
Kings Sunflower Oil,Bangladesh Edible Oil Limited,4,Sunflower,4
Veola Fortified Soyabean Oil,Bangladesh Edible Oil Limited,4,Rape & Mustard,7
Meizan Super Palm Oilein,Bangladesh Edible Oil Limited,4,Palm,3
Fresh Fortified Soyabean Oil,Meghna Group of Industries,14,Soya Bean,2
Fresh Actifit Mustard Oil,Meghna Group of Industries,14,Rape & Mustard,7
Teer Fortified Soyabean Oil,City Group,7,Soya Bean,2
ACI Pure Fortified Soyabean Oil,ACI,23,Soya Bean,2
ACI Nutrilife Rice Bran Oil,ACI,23,Rice Bran,11
Pusti Fortified Soyabean Oil,TK Group,20,Soya Bean,2
Pusti Family Fortified Palm Olein Oil,TK Group,20,Palm,3
Pran Mustard Oil,PRAN,22,Rape & Mustard,7
