District Name,DivisionID
Dhaka,1
Faridpur,1
Gazipur,1
Gopalganj,1
Kishoreganj,1
Madaripur,1
Manikganj,1
Munshiganj,1
Narayanganj,1
Narsingdi,1
Rajbari,1
Shariatpur,1
Tangail,1
Bandarban,2
Brahmanbaria,2
Chandpur,2
Chattogram,2
Cox's Bazar,2
Cumilla,2
Feni,2
Khagrachari,2
Lakshmipur,2
Noakhali,2
Rangamati,2
Bogura,3
Chapainawabganj,3
Joypurhat,3
Naogaon,3
Natore,3
Pabna,3
Rajshahi,3
Sirajganj,3
Bagerhat,4
Chuadanga,4
Jashore,4
Jhenaidah,4
Khulna,4
Kushtia,4
Magura,4
Meherpur,4
Narail,4
Satkhira,4
Barguna,5
Barishal,5
Bhola,5
Jhalokati,5
Patuakhali,5
Pirojpur,5
Habiganj,6
Moulvibazar,6
Sunamganj,6
Sylhet,6
Dinajpur,7
Gaibandha,7
Kurigram,7
Lalmonirhat,7
Nilphamari,7
Panchagarh,7
Rangpur,7
Thakurgaon,7
Jamalpur,8
Mymensingh,8
Netrokona,8
Sherpur,8
