0,1,2,3,4
Bangladesh Edible Oil Limited,Narayanganj,1,Large Scale,1
Meghna Group of Industries,X,1,Large Scale,1
City Group,X,1,Large Scale,1
ACI,X,1,Large Scale,1
ACI Edible Oils Ltd,Sirajganj,1,Large Scale,1
T.K Group,X,1,Large Scale,1
PRAN,X,1,Large Scale,1
M.M. Vegetable Oil Industries,Narayanganj,1,Medium Scale,1
Deepa Food Products Ltd,Narayanganj,1,Micro Sale,1
Tanveer/United Edible Oil Mills,Narayanganj,1,Micro Sale,1
Shun Shing Edible oil Ltd,Mongla,1,Micro Sale,1
Tanveers Oil Ltd,Narayanganj,1,Micro Sale,1
Adani Wilmar Ltd,Gujarat,4,Large Scale,1
Emarald Oil Ltd,Sherpur,1,Micro Sale,1
Green Oil Ltd,Hajir Hat,1,Micro Sale,1
KBC Agro Products Ltd,Dhamrai,1,Micro Sale,1
Jamuna Edible Oil Industries Ltd,Godagari,1,Micro Sale,1
KBC Agro Products Ltd,Dhamrai,1,Micro Sale,1
Chemical Oil Refineries,Chittagong,1,Large Scale,1
M.M. Vegetable Oil Industries,Chittagong,1,Micro Sale,1
S. Alam Vegetable Oil Ltd,Chittagong,1,Micro Sale,1
S.A.Oil Refineries,Chittagong,1,Micro Sale,1
Khan Food & Aquarcy Ltd,Tongi,1,Micro Sale,1
Shabnam Vegetable Oil Industries Ltd,Narayanganj,1,Micro Sale,1
Super Oil Refinery Ltd,Narayanganj,1,Micro Sale,1
Super Oil Refinery Ltd,Narayanganj,1,Micro Sale,1
Mateo SA,,7,Micro Sale,1
Medsol,,8,Micro Sale,1
Borges Agricultural and Industrial Edible Oils,,7,Micro Sale,1
